Pore Volume of Water Injected,Pore Volume of Oil Produced,WaterCut,n,m,,
3.5,0.04511,0.00283,1.5,3.5,,
3.6,0.04484,0.00275,1.5,3.5,,
3.7,0.04457,0.00266,1.5,3.5,,
3.8,0.0443,0.00258,1.5,3.5,,
3.9,0.04404,0.0025,1.5,3.5,,
4,0.0438,0.00243,1.5,3.5,,
4.1,0.04355,0.00236,1.5,3.5,,
4.2,0.04332,0.0023,1.5,3.5,,
4.3,0.04309,0.00224,1.5,3.5,,
4.4,0.04288,0.00219,1.5,3.5,,
4.5,0.04267,0.00213,1.5,3.5,,
4.6,0.04246,0.00209,1.5,3.5,,
4.7,0.04226,0.00204,1.5,3.5,,
4.8,0.04206,0.00199,1.5,3.5,,
4.9,0.04187,0.00195,1.5,3.5,,
0.1,0,0,1.5,3,9,
0.2,0,0,1.5,3,,
0.3,0.02873,-0.79798,1.5,3,,
0.4,0.0542,0.05055,1.5,3,,
0.5,0.04995,0.03637,1.5,3,,
0.6,0.04676,0.02781,1.5,3,,
0.7,0.04427,0.02237,1.5,3,,
0.8,0.04224,0.01859,1.5,3,,
0.9,0.04053,0.01575,1.5,3,,
1,0.03906,0.0136,1.5,3,,
1.1,0.0378,0.01193,1.5,3,,
1.2,0.03667,0.01059,1.5,3,,
1.3,0.03566,0.00948,1.5,3,,
1.4,0.03477,0.00858,1.5,3,,
1.5,0.03396,0.00782,1.5,3,,
1.6,0.03321,0.00716,1.5,3,,
1.7,0.03252,0.00658,1.5,3,,
1.8,0.03188,0.00608,1.5,3,,
1.9,0.03129,0.00565,1.5,3,,
2,0.03075,0.00527,1.5,3,,
2.1,0.03025,0.00494,1.5,3,,
2.2,0.02978,0.00465,1.5,3,,
2.3,0.02932,0.00437,1.5,3,,
2.4,0.0289,0.00413,1.5,3,,
2.5,0.02849,0.00389,1.5,3,,
2.6,0.0281,0.00369,1.5,3,,
2.7,0.02775,0.00351,1.5,3,,
2.8,0.02741,0.00334,1.5,3,,
2.9,0.02709,0.0032,1.5,3,,
3,0.02678,0.00306,1.5,3,,
3.1,0.02648,0.00293,1.5,3,,
3.2,0.0262,0.00281,1.5,3,,
3.3,0.02592,0.00269,1.5,3,,
3.4,0.02566,0.00258,1.5,3,,
3.5,0.0254,0.00248,1.5,3,,
3.6,0.02516,0.00239,1.5,3,,
3.7,0.02493,0.0023,1.5,3,,
3.8,0.0247,0.00222,1.5,3,,
3.9,0.02447,0.00214,1.5,3,,
4,0.02427,0.00207,1.5,3,,
4.1,0.02406,0.002,1.5,3,,
4.2,0.02387,0.00194,1.5,3,,
4.3,0.02367,0.00188,1.5,3,,
4.4,0.0235,0.00183,1.5,3,,
4.5,0.02332,0.00177,1.5,3,,
4.6,0.02315,0.00172,1.5,3,,
4.7,0.02298,0.00167,1.5,3,,
4.8,0.02282,0.00163,1.5,3,,
4.9,0.02266,0.00159,1.5,3,,
0.1,0,0,1.5,2.5,10,
0.2,0,0,1.5,2.5,,
0.3,0.01121,-0.76553,1.5,2.5,,
0.4,0.03441,0.06673,1.5,2.5,,
0.5,0.0289,0.04596,1.5,2.5,,
0.6,0.02494,0.03391,1.5,2.5,,
0.7,0.02195,0.02637,1.5,2.5,,
0.8,0.0196,0.02123,1.5,2.5,,
0.9,0.01767,0.01748,1.5,2.5,,
1,0.01607,0.01467,1.5,2.5,,
1.1,0.01472,0.01252,1.5,2.5,,
1.2,0.01356,0.01083,1.5,2.5,,
1.3,0.01253,0.00946,1.5,2.5,,
1.4,0.01165,0.00834,1.5,2.5,,
1.5,0.01088,0.00743,1.5,2.5,,
1.6,0.01017,0.00664,1.5,2.5,,
1.7,0.00954,0.00597,1.5,2.5,,
1.8,0.00896,0.0054,1.5,2.5,,
1.9,0.00845,0.00491,1.5,2.5,,
2,0.00799,0.00449,1.5,2.5,,
2.1,0.00756,0.00411,1.5,2.5,,
2.2,0.00717,0.0038,1.5,2.5,,
2.3,0.00681,0.00351,1.5,2.5,,
2.4,0.00647,0.00324,1.5,2.5,,
2.5,0.00615,0.003,1.5,2.5,,
2.6,0.00585,0.00279,1.5,2.5,,
2.7,0.00558,0.0026,1.5,2.5,,
2.8,0.00533,0.00244,1.5,2.5,,
2.9,0.00511,0.00229,1.5,2.5,,
3,0.00489,0.00216,1.5,2.5,,
3.1,0.00468,0.00203,1.5,2.5,,
3.2,0.00449,0.00192,1.5,2.5,,
3.3,0.0043,0.00181,1.5,2.5,,
3.4,0.00413,0.0017,1.5,2.5,,
3.5,0.00395,0.00161,1.5,2.5,,
3.6,0.0038,0.00153,1.5,2.5,,
3.7,0.00365,0.00144,1.5,2.5,,
3.8,0.00351,0.00137,1.5,2.5,,
3.9,0.00337,0.0013,1.5,2.5,,
4,0.00325,0.00124,1.5,2.5,,
4.1,0.00312,0.00118,1.5,2.5,,
4.2,0.00301,0.00112,1.5,2.5,,
4.3,0.0029,0.00108,1.5,2.5,,
4.4,0.0028,0.00103,1.5,2.5,,
4.5,0.0027,0.00098,1.5,2.5,,
4.6,0.00261,0.00095,1.5,2.5,,
4.7,0.00252,0.0009,1.5,2.5,,
4.8,0.00243,0.00087,1.5,2.5,,
4.9,0.00235,0.00084,1.5,2.5,,
0.1,0,0,1.5,2,11,
0.2,0,0,1.5,2,,
0.3,0,0,1.5,2,,
0.4,0.01036,0.08926,1.5,2,,
0.5,0.00321,0.05767,1.5,2,,
0.6,-0.00161,0.04018,1.5,2,,
0.7,-0.00506,0.02952,1.5,2,,
0.8,-0.00762,0.02245,1.5,2,,
0.9,-0.00961,0.01744,1.5,2,,
1,-0.01116,0.01379,1.5,2,,
1.1,-0.01239,0.01108,1.5,2,,
1.2,-0.01339,0.009,1.5,2,,
1.3,-0.01422,0.00736,1.5,2,,
1.4,-0.01488,0.00607,1.5,2,,
1.5,-0.01542,0.00503,1.5,2,,
1.6,-0.01589,0.00417,1.5,2,,
1.7,-0.01626,0.00347,1.5,2,,
1.8,-0.01659,0.00287,1.5,2,,
1.9,-0.01685,0.00237,1.5,2,,
2,-0.01706,0.00197,1.5,2,,
2.1,-0.01723,0.00163,1.5,2,,
2.2,-0.01738,0.00134,1.5,2,,
2.3,-0.0175,0.00108,1.5,2,,
2.4,-0.0176,0.00085,1.5,2,,
2.5,-0.01768,0.00065,1.5,2,,
2.6,-0.01775,0.00048,1.5,2,,
2.7,-0.01778,0.00035,1.5,2,,
2.8,-0.01781,0.00023,1.5,2,,
2.9,-0.01782,0.00013,1.5,2,,
3,-0.01782,3.00E-05,1.5,2,,
3.1,-0.01782,-5.00E-05,1.5,2,,
3.2,-0.01781,-0.00012,1.5,2,,
3.3,-0.0178,-0.00019,1.5,2,,
3.4,-0.01778,-0.00025,1.5,2,,
3.5,-0.01776,-0.0003,1.5,2,,
3.6,-0.01772,-0.00034,1.5,2,,
3.7,-0.01768,-0.00039,1.5,2,,
3.8,-0.01764,-0.00042,1.5,2,,
3.9,-0.01761,-0.00045,1.5,2,,
4,-0.01755,-0.00047,1.5,2,,
4.1,-0.01751,-0.0005,1.5,2,,
4.2,-0.01745,-0.00052,1.5,2,,
4.3,-0.0174,-0.00053,1.5,2,,
4.4,-0.01734,-0.00055,1.5,2,,
4.5,-0.01728,-0.00056,1.5,2,,
4.6,-0.01723,-0.00057,1.5,2,,
4.7,-0.01717,-0.00059,1.5,2,,
4.8,-0.01711,-0.00059,1.5,2,,
4.9,-0.01704,-0.0006,1.5,2,,
0.1,0,0,2,7,12,
0.2,0.00905,-0.84472,2,7,,
0.3,0.09697,-0.90504,2,7,,
0.4,0.13076,-0.01446,2,7,,
0.5,0.13191,-0.00897,2,7,,
0.6,0.13263,-0.006,2,7,,
0.7,0.13312,-0.00389,2,7,,
0.8,0.13345,-0.00255,2,7,,
0.9,0.13365,-0.00163,2,7,,
1,0.13378,-0.00099,2,7,,
1.1,0.13385,-0.00049,2,7,,
1.2,0.13387,-1.00E-04,2,7,,
1.3,0.13386,0.00023,2,7,,
1.4,0.13383,0.00049,2,7,,
1.5,0.13378,0.00068,2,7,,
1.6,0.1337,0.00082,2,7,,
1.7,0.13361,0.00093,2,7,,
1.8,0.13351,0.00102,2,7,,
1.9,0.1334,0.0011,2,7,,
2,0.1333,0.00118,2,7,,
2.1,0.13319,0.00123,2,7,,
2.2,0.13306,0.00127,2,7,,
2.3,0.13292,0.0013,2,7,,
2.4,0.13279,0.00132,2,7,,
2.5,0.13265,0.00133,2,7,,
2.6,0.13251,0.00134,2,7,,
2.7,0.13238,0.00136,2,7,,
2.8,0.13224,0.00138,2,7,,
2.9,0.13212,0.0014,2,7,,
3,0.13198,0.00141,2,7,,
3.1,0.13184,0.00141,2,7,,
3.2,0.1317,0.00141,2,7,,
3.3,0.13156,0.00141,2,7,,
3.4,0.13142,0.0014,2,7,,
3.5,0.13127,0.00139,2,7,,
3.6,0.13113,0.00139,2,7,,
3.7,0.13099,0.00137,2,7,,
3.8,0.13085,0.00136,2,7,,
3.9,0.13071,0.00135,2,7,,
4,0.13058,0.00134,2,7,,
4.1,0.13044,0.00134,2,7,,
4.2,0.13032,0.00133,2,7,,
4.3,0.13018,0.00133,2,7,,
4.4,0.13006,0.00133,2,7,,
4.5,0.12993,0.00132,2,7,,
4.6,0.12981,0.00131,2,7,,
4.7,0.12968,0.0013,2,7,,
4.8,0.12955,0.00129,2,7,,
4.9,0.12942,0.00128,2,7,,
0.1,0,0,2,6.5,13,
0.2,0.00272,-0.83578,2,6.5,,
0.3,0.08998,-0.89993,2,6.5,,
0.4,0.12336,-0.01108,2,6.5,,
0.5,0.12422,-0.00644,2,6.5,,
0.6,0.12471,-0.00398,2,6.5,,
0.7,0.12502,-0.00228,2,6.5,,
0.8,0.1252,-0.00119,2,6.5,,
0.9,0.12528,-0.00047,2,6.5,,
1,0.1253,1.00E-05,2,6.5,,
1.1,0.12528,0.00041,2,6.5,,
1.2,0.12522,0.00072,2,6.5,,
1.3,0.12513,0.00096,2,6.5,,
1.4,0.12503,0.00113,2,6.5,,
1.5,0.12492,0.00126,2,6.5,,
1.6,0.12478,0.00136,2,6.5,,
1.7,0.12464,0.00144,2,6.5,,
1.8,0.12449,0.00149,2,6.5,,
1.9,0.12434,0.00153,2,6.5,,
2,0.12419,0.00157,2,6.5,,
2.1,0.12404,0.00159,2,6.5,,
2.2,0.12387,0.00162,2,6.5,,
2.3,0.12371,0.00162,2,6.5,,
2.4,0.12354,0.00163,2,6.5,,
2.5,0.12338,0.00163,2,6.5,,
2.6,0.12321,0.00164,2,6.5,,
